Sample	total	multidrug	peptide	tetracycline	quinolone	aminocoumarin	MLS	beta_lactam	aminoglycoside	rifamycin	phosphonic acid	diaminopyrimidine	phenicol
S1123	0.675077356257224	0.491002440988207	0.791495929306936	0.788556874487894	0.764322792087011	0.800596519223877	0.480054476474594	0.754627977281802	0.938518221294278	0.671566246303885	0.640237152667029	0.372632844594369	0.43385969109711
S1124	0.644045363062194	0.447244503711047	0.79326524142652	0.738170589703069	0.831107917689559	0.742077190798223	0.543048385223662	0.669162903087466	0.87366763225244	0.699777620405975	0.610749365412206	0.507452687991961	0.52611273554256
S1127	0.610129854247198	0.51430617997301	0.642479958117259	0.665854853344764	0.687832144975607	0.697168593562563	0.408808108674144	0.751253326069855	0.888793865463187	0.724143742747113	0.239233853293281	0.470105502203066	0.481351023148113
S113	0.760208834782949	0.54170606975218	0.92565580122643	0.860784713490726	0.910304777009258	0.829113659213486	0.535949137148047	0.846429501674799	0.945608532920634	0.695409333317864	0.385056108740319	0.492156552051973	0.39720444780468
S1131	0.665803282947766	0.492544692050678	0.77741847141319	0.748756846027758	0.685899681271535	0.776943632946079	0.369683839250582	0.788948061273337	0.83213743003393	0.690136034809298	0.547743510435705	0.36736754787752	0.399714984245689
S1134	0.677857675050704	0.533785058525495	0.763959470400326	0.801243072298588	0.801516459612285	0.800380876709736	0.447719417869895	0.715624765689146	0.884342495041344	0.684716037492437	0.411050370525601	0.476334764643928	0.580188537902351
S1136	0.712543471282405	0.536611812822943	0.820515967201991	0.807004395563975	0.822428254603248	0.828038591557818	0.488665531035865	0.744294826256702	0.892386492149963	0.67561536311582	0.646041976532804	0.491270662247461	0.362720582982068
S1139	0.650137555573129	0.566585336129872	0.670829916681342	0.720743904527885	0.649276236841135	0.769029368585559	0.628760318866682	0.740958710653954	0.797007538975967	0.693200183852179	0.666831368160779	0.305524075366364	0.645992558654586
S114	0.474543917628927	0.422502304047703	0.475566052504786	0.537422615109457	0.470378429949308	0.672734877796051	0.355653601124052	0.510467345102314	0.587054570591602	0.817671752643901	0.390252595691926	0.16377066944603	0.585986030658272
S1140	0.625824079600033	0.501960253553311	0.671689885961098	0.745517434475301	0.784006583910569	0.7386791359122	0.377109053087965	0.688437970289373	0.864267503790281	0.671828046091086	0.429815656117019	0.371271396492646	0.484003884572697
S1141	0.558513764087486	0.442311393646384	0.622819069642202	0.610613311227502	0.652681981146368	0.630739401139761	0.417748020302718	0.750678911460877	0.833404537584602	0.698988334682452	0.402905647049949	0.275206635686512	0.548302316486853
S1143	0.546975781854525	0.420761162988816	0.63118399035607	0.553435009526808	0.458226277421487	0.679518727420187	0.648861827051379	0.813470353195868	0.674146160591846	0.636643326447396	0.21854004161358	0.20058105009273	0.362591595165028
S1145	0.723987014734423	0.538910037288252	0.858590591610228	0.846682250354083	0.824663676388652	0.826534140456179	0.465575907579477	0.777669097632121	0.912125956111832	0.675948280560249	0.525003746815207	0.0973245128071433	0.626263873939052
S1146	0.55376745652777	0.513392878681115	0.545140691133045	0.597705899422241	0.524726210123216	0.649460759082372	0.494536316335394	0.623583613497696	0.624298548105921	0.791554278651988	0.607108777011525	0.428955670603462	0.583353727434144
S1147	0.717907123805583	0.545378363855971	0.837153828136926	0.822207183439612	0.81006406134785	0.854837758120265	0.423401906673357	0.764571082149582	0.912803236553367	0.697023684628835	0.448698665240546	0.47447446588106	0.542717822717823
S1149	0.50400928929009	0.380056856893298	0.542284820288935	0.478836970871006	0.529253955059558	0.759866889142151	0.583527635442203	0.740624346242355	0.767579953892633	0.671123747977096	0.216621336704647	0.514829900522892	0.7000938379731
S115	0.663399267423871	0.464616164318536	0.799716146239655	0.757870802281736	0.742577298983165	0.811737389398475	0.395444078816321	0.758557675248153	0.904199367778504	0.6867062327148	0.415524908223367	0.290168176776947	0.72352726558334
S1151	0.5705605021366	0.445557006586418	0.63303634593815	0.636629983213668	0.601391147715023	0.656545478657324	0.352021293439515	0.745467927235902	0.789371563062964	0.687244841663908	0.327820827216809	0.310755536212765	0.529440714637249
S1152	0.579190537574849	0.432922342613104	0.619129496270015	0.647703786076667	0.584052310727746	0.660388215105755	0.611978503381718	0.755420059688642	0.782511968300634	0.701256677265958	0.273128883109377	0.452247384756869	0.587778760192553
S1154	0.706839348211196	0.527817386506191	0.832422427128978	0.824705346196556	0.827080767444678	0.779671894326067	0.419763421812052	0.772991590149922	0.90131906571295	0.681393964312922	0.50069793606999	0.271853287012293	0.614741031081065
S1155	0.70727686517548	0.531707306478866	0.821056097411253	0.801633847729937	0.753720633650119	0.791207559188267	0.56230129160457	0.772054608990956	0.862045533226161	0.703773637365765	0.64639831478683	0.0491299727701401	0.624485267150411
S1156	0.503757041661384	0.486404638016509	0.489441294166758	0.472011631529754	0.476811018408158	0.516034078136613	0.466029864997276	0.707580009564447	0.787709861805287	0.838601746739007	0.49720658975082	0.16605900916082	0.594049527077361
S1157	0.732292639320125	0.490611665884771	0.833082607693068	0.758286797156834	0.779744170132126	0.80667333597806	0.298239902771448	0.945234088101733	0.764505411456031	0.758147215089708	0.253245993683472	0.263453520274795	0.456137083255727
S1158	0.70995209207935	0.526873867445547	0.809897837030541	0.787284356821352	0.826375019433847	0.790865124382243	0.461099606981363	0.828790438041922	0.791589943294762	0.761381702726756	0.508007570053519	0.149622926093514	0.570889772082083
S1159	0.658623575053754	0.493740261980434	0.777959208940821	0.714119767707957	0.636749675976769	0.784608303208568	0.55905698723681	0.788911849252708	0.830553434245862	0.703805310846644	0.358257096614975	0.188215685669311	0.795381275083887
S116	0.630478604130358	0.580454276948843	0.60931454852541	0.663972201412671	0.555345258281551	0.74458079554063	0.602319362062043	0.608809265378735	0.673062485551614	0.794271398710264	0.875607220550204	0.112623520905304	0.55191571233936
S1161	0.579584028045859	0.451901977497326	0.614398144545441	0.651086145965945	0.68981296185014	0.706589242187507	0.356820170165305	0.794986927177721	0.90012730614944	0.683478693848392	0.300223924433721	0.468364459535937	0.571991530701208
S1162	0.582569365218999	0.480200931990988	0.63606220084651	0.608966726403285	0.595281265720448	0.743693320045028	0.461300837174976	0.756531824556618	0.879027340086654	0.639216386468364	0.272874600871345	0.704294676652593	0.470489869919558
S1163	0.676607817464047	0.512257610920282	0.797468773486991	0.758251760524611	0.752808466749055	0.794785095084646	0.478226515741979	0.758403018357026	0.900099413301464	0.639865842455079	0.582612807349365	0.36054517848946	0.499530456986695
S1164	0.592031621727979	0.47300127956021	0.607479840336227	0.710316646886127	0.754859423681035	0.725395656579679	0.405624234448479	0.736783375337271	0.856342102638866	0.709575176417868	0.372752630593675	0.620800784935281	0.56494675385706
S1165	0.594565950546059	0.452483030727764	0.737506716256335	0.763050247930297	0.533753101222631	0.752600716690194	0.453942757464217	0.70107554669114	0.816977078840706	0.693150495332869	0.217869918237565	0.130075625363583	0.495977000405194
S1166	0.497779492513095	0.418707460319159	0.547098869002804	0.522369448696851	0.579529319569472	0.559927274862845	0.365613657071458	0.754423484136259	0.799838044861854	0.714494239827159	0.310048604046569	0.322545152758625	0.515675593887124
S1168	0.60038281472894	0.454095567348698	0.670239870711979	0.691379605346199	0.553838312011126	0.624540144852699	0.594583471962736	0.80086230602808	0.842176134794218	0.667465492597732	0.550790115525938	0.411871520456556	0.556223175965665
S117	0.573500986353546	0.432399833702636	0.632268470000272	0.719176869176869	0.683329884338154	0.706196327932034	0.459777697791483	0.734339556291766	0.842819353500419	0.681596940610422	0.248920227733787	0.378158880346935	0.357576432588963
S1170	0.649977694401422	0.485117335019906	0.753061590106381	0.745776541449209	0.689872185817167	0.779322405199544	0.377581618817758	0.773056120343051	0.884755605387894	0.68873655065983	0.255443523667337	0.267730207440061	0.796806201939361
S1171	0.625159585889479	0.485796531325224	0.662300953809543	0.768304636877638	0.730212239914149	0.646057687209259	0.532641265256718	0.718771949939925	0.86791840561029	0.685532761177524	0.284607917616274	0.537844495273437	0.679393379741441
S1172	0.572927900233104	0.449405671647768	0.588035850795444	0.732929330822746	0.614038953566663	0.670573643614517	0.488452730059447	0.786865538227153	0.869590385685672	0.70954278462537	0.265929503205838	0.456557091072516	0.466943962437481
S1173	0.592559586361879	0.476108329532345	0.659984281807251	0.647945757857895	0.650609118118143	0.59448946959774	0.486381916631425	0.697660295912536	0.81338574362681	0.713121076804405	0.362302592667791	0.587464090318567	0.559593621903622
S1174	0.648213142077958	0.505536899085903	0.709737645219892	0.731573740517049	0.681830983148091	0.652478399584522	0.403303358414388	0.782955755919935	0.904073745047584	0.70036666985845	0.405918422130858	0.730152259850555	0.703202449628665
S1175	0.738808993018479	0.556503595219607	0.89503442408678	0.834907359516739	0.8270664211292	0.812733543919295	0.720620880145053	0.742390091030514	0.909703002262567	0.698334409448628	0.734519376637705	0.109357627057853	0.555443952261377
S1176	0.652775375980094	0.501215404618909	0.720046512632036	0.800668834899867	0.742838610388279	0.621335028607756	0.397266362929214	0.786619138322704	0.867310848950768	0.694377526701793	0.424023136571443	0.33143837937707	0.334589971758939
S1177	0.587681084635292	0.433656939423923	0.692767919110733	0.679972852769595	0.662646197752822	0.701137461100977	0.327177352773146	0.759125999633449	0.862356997017232	0.684137661911498	0.425501347721188	0.139283975295354	0.368621001904722
